sample,super_pop,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
HG00096,EUR,-101.80072,-150.33533,-32.466724,-50.68723,-2.3037617,-1.0186607,10.735488,2.8051283,-0.38010547,8.953972,10.142629,-2.5796404
HG00097,EUR,-100.11581,-146.34871,-29.447208,-49.08373,-3.439903,-2.1131847,11.919144,-1.1189439,0.76558125,7.83304,12.88131,-8.389226
HG00099,EUR,-102.30657,-148.63377,-32.046913,-45.96685,-2.4682112,-1.144406,19.244757,0.8549676,6.4022408,9.920464,16.721819,-17.832525
HG00100,EUR,-99.27828,-149.6709,-31.300156,-49.906548,-0.16323422,-0.7497082,7.4758554,0.2046455,4.009843,12.995514,12.015766,-14.016482
HG00101,EUR,-100.85636,-147.39491,-34.865902,-48.052727,-1.9763407,-1.6783453,15.198419,-0.7706978,8.148236,12.133704,13.074799,-16.035864
HG00102,EUR,-102.84231,-147.87434,-31.476065,-50.273357,-5.6074247,-0.5268265,17.498392,-1.9623295,-4.1644673,10.262601,12.647962,-14.256921
HG00103,EUR,-101.26894,-146.41278,-32.5278,-51.00485,-1.9842509,-0.9152797,12.468251,1.6179249,11.913435,9.015082,12.604878,-12.437011
HG00105,EUR,-100.844635,-145.64604,-31.853346,-49.875797,-1.6014438,-0.36566707,10.998807,0.8965485,4.7935023,7.700402,12.172644,-14.054988
HG00106,EUR,-102.76407,-147.86835,-31.797504,-45.968132,2.6492777,-2.7865205,12.288118,2.3887968,6.5858326,5.290768,14.608002,-7.0520515
HG00107,EUR,-103.3416,-146.66116,-33.585445,-47.567123,-0.91432875,0.3313796,15.710758,0.113503985,5.624172,1.0390222,11.335113,-10.87355
HG00108,EUR,-99.56995,-149.46672,-32.761726,-49.113373,-2.3542225,-1.0840095,16.166534,0.45073786,6.165586,6.770529,16.615225,-12.514293
HG00109,EUR,-102.05855,-148.56815,-34.861362,-52.472626,0.5500402,1.6613617,12.33999,-0.10737047,4.144817,11.440784,13.70737,-10.895384
HG00110,EUR,-101.22941,-147.7016,-29.939253,-48.323963,-1.4500754,-1.1002281,15.4279785,0.040428396,4.714309,7.4668117,11.073271,-9.843335
HG00111,EUR,-100.39306,-148.35463,-27.642544,-44.90375,-4.4683294,-2.0123475,19.370712,-1.6052228,-0.75944024,12.734421,16.238867,-12.599557
HG00112,EUR,-102.93204,-148.34254,-30.86607,-49.867764,-2.122816,-1.8236544,13.698913,-1.3053036,5.7186046,12.107932,11.912333,-6.3675966
HG00113,EUR,-100.76647,-148.09525,-32.634468,-50.400482,-2.1335762,-0.3938678,11.059607,0.06742513,3.392084,12.503948,11.887356,-14.0575285
HG00114,EUR,-100.85316,-145.85316,-31.644667,-48.74364,-4.6108837,-2.1783714,13.856713,0.18026268,-1.4596775,7.6343575,14.172826,-10.912095
HG00115,EUR,-98.84221,-148.84872,-29.448473,-50.64923,0.03826988,-0.51223344,10.686224,-2.3228161,7.2715445,6.9325886,5.1050253,-12.190671
HG00116,EUR,-102.51245,-149.019,-31.153553,-51.0308,0.95583034,0.5818359,17.857286,-0.71716696,3.4557602,10.582187,13.488582,-16.397495
HG00117,EUR,-102.29041,-147.033,-33.34215,-48.222557,-1.7406403,-1.4406743,14.582559,0.19901451,-1.6023666,11.098668,15.688445,-9.813131
HG00118,EUR,-100.66695,-149.60442,-32.781902,-44.68891,0.2220334,-0.92604744,13.134333,-1.6345959,4.7130847,9.931321,13.716852,-12.363947
HG00119,EUR,-101.14645,-147.199,-34.346554,-50.05443,-1.0906262,-0.74965274,14.339329,0.19252945,1.6329552,10.798841,23.501965,-15.667599
HG00120,EUR,-100.769585,-149.3739,-32.200844,-50.4285,-2.0414267,-1.7164246,16.950243,1.0563877,5.9181604,11.957961,15.930639,-17.428291
HG00121,EUR,-102.552246,-148.12738,-29.888313,-48.01294,-3.2942355,-0.6743721,17.412443,-1.4974852,4.2178764,4.919105,8.775436,-9.647227
HG00122,EUR,-102.259384,-149.54315,-34.366764,-48.416073,-3.0002265,-1.4608086,12.972696,0.15968157,7.935747,8.82945,12.412953,-6.80526
HG00123,EUR,-99.31295,-148.17291,-29.070839,-46.77939,-2.2121289,-2.1911082,18.161184,-3.6799688,7.066924,12.50391,14.010911,-10.540118
HG00125,EUR,-101.340485,-148.57632,-31.699404,-47.80932,-2.5024278,-0.15661305,17.709482,-2.450631,6.7064724,5.85631,6.3684683,-13.978693
HG00126,EUR,-100.69628,-153.1114,-31.511116,-51.42247,-1.777967,1.2351677,7.63487,-1.3023422,3.1857474,6.3180637,8.507298,-12.15163
HG00127,EUR,-101.33877,-149.63235,-32.069645,-50.471607,-0.6421462,-1.4145781,10.895262,-0.6613926,-0.9290588,4.799869,12.330555,-13.368412
HG00128,EUR,-99.27229,-150.3481,-30.74891,-50.85939,-0.44474822,-0.27717683,9.083393,-0.25128317,4.0806828,5.8134127,10.80432,-14.97613
HG00129,EUR,-101.33103,-151.70264,-33.30706,-48.95788,-5.0053444,-2.7083848,14.930483,-0.6318588,0.20121416,4.988524,15.054482,-8.6848135
HG00130,EUR,-99.261604,-147.82146,-29.341928,-52.76568,-1.6757331,-1.4300936,7.220191,1.7819034,-3.2019255,10.820654,7.1860785,-10.1647625
HG00131,EUR,-99.86728,-147.84358,-31.306435,-48.873383,-0.37808377,-1.6969382,11.991358,-1.2437625,-0.15138932,10.83651,1.7212496,-4.0847025
HG00132,EUR,-99.54537,-147.83434,-30.234121,-52.1509,0.37779838,-0.07632484,3.7862241,2.5410771,4.945355,8.232342,18.140324,-13.046471
HG00133,EUR,-99.68534,-148.8468,-29.120695,-47.941483,-0.3400588,-1.2820809,11.715981,2.2942233,4.363505,11.604876,8.472358,-9.632135
HG00136,EUR,-101.058846,-146.64412,-32.23371,-50.463146,-2.0395129,-1.6267784,10.604509,-0.22284997,3.5817218,-2.4725935,6.63346,-9.336103
HG00137,EUR,-101.459656,-149.1796,-32.484547,-50.598587,0.42233166,0.9807307,10.232615,0.31651416,5.9550247,9.871474,8.031442,-4.127321
HG00138,EUR,-99.28608,-151.26009,-31.505386,-50.937542,-1.461752,0.47176853,10.42066,0.5047463,6.8924727,6.2245646,5.9490056,-8.964138
HG00139,EUR,-100.36372,-152.0109,-34.590366,-51.402836,-4.1336637,-1.5023638,8.121157,-1.4029698,3.9137697,5.6256676,2.2571893,-6.2737765
HG00140,EUR,-101.456436,-148.25568,-31.582212,-49.450333,-3.1122165,-1.315966,11.997965,0.92956555,1.1276923,14.541176,8.009294,-10.613405
HG00141,EUR,-103.59622,-151.70251,-33.42993,-48.522953,-0.7983607,-2.0160534,13.371496,-0.5265991,6.5962715,2.8891628,8.33145,-5.5114427
HG00142,EUR,-99.2699,-149.37932,-29.7282,-52.53003,0.69434315,-0.4721258,11.661955,-0.98279613,0.536865,1.3908565,11.180241,-8.403204
HG00143,EUR,-98.55329,-151.27776,-29.957638,-50.0991,-1.4281126,-0.4511921,5.2023544,1.583316,10.105511,6.044589,4.506675,-9.292848
HG00145,EUR,-100.999374,-149.98357,-31.219215,-50.50404,1.1720759,0.47737068,5.899832,1.1305797,1.119427,1.4350278,17.888077,-14.282788
HG00146,EUR,-101.784134,-148.25859,-35.175793,-52.318745,3.4898393,-0.44891003,10.202916,0.91040844,-0.4147651,5.4444933,13.629371,-2.244338
HG00148,EUR,-100.34386,-148.30754,-30.362389,-49.388336,0.735993,0.050308354,12.127337,1.9026825,-0.4773229,13.665458,10.706415,-9.673408
HG00149,EUR,-98.82577,-150.7282,-34.08021,-51.53725,-2.1523657,-0.96880114,11.200056,1.0706029,9.708119,2.1151738,3.8948905,-15.268924
HG00150,EUR,-100.33982,-146.90244,-31.789843,-48.690605,-1.3442179,2.0705113,13.5815735,3.778086,-1.4190273,12.446979,12.967858,-9.698136
HG00151,EUR,-99.93064,-147.72473,-28.840334,-46.97076,-1.3353386,-1.524882,12.934106,-1.4834191,3.8657699,7.935568,8.272858,-8.479433
HG00154,EUR,-100.69968,-153.52583,-33.195457,-52.144497,-3.0123913,0.67218703,11.361993,0.4078883,6.022402,3.562838,11.059019,-12.193089
HG00155,EUR,-102.845276,-147.70201,-34.081894,-48.77453,-0.7816434,-2.3605022,14.348633,2.058257,3.8027349,5.4798803,15.939569,-12.613065
HG00157,EUR,-100.55902,-150.32243,-32.60357,-51.618164,-2.3518257,-1.3091825,14.224206,-0.53659385,0.173302,8.50157,9.150953,-11.178675
HG00158,EUR,-98.749306,-146.3351,-34.208305,-47.739334,-1.7549336,-2.2638726,9.3677845,0.45759717,10.184148,7.523611,7.244028,-15.495636
HG00159,EUR,-99.71109,-150.02939,-32.245193,-50.61196,-0.25801632,-1.4163353,9.724472,-0.17708288,5.657558,13.06155,10.7881,-10.027371
HG00160,EUR,-101.57324,-149.79247,-33.446922,-48.589954,-3.0406585,-2.5720396,13.108336,1.9608269,5.940888,6.6491895,9.59093,-12.675292
HG00171,EUR,-110.34183,-124.069984,-38.209656,-42.384758,-27.799759,-8.559385,98.88182,-20.075882,-4.473763,-8.859959,-7.5920224,10.389712
HG00173,EUR,-107.65379,-126.33422,-36.64734,-43.95392,-23.50335,-4.874175,85.63126,-16.988863,-3.6722963,-6.8623414,-18.604061,12.067825
HG00174,EUR,-105.22638,-134.81842,-38.719936,-43.363476,-19.69176,-5.1507516,67.85833,-12.129104,-4.7839017,-7.1620307,-5.5578465,10.490461
HG00176,EUR,-106.00954,-125.73169,-33.51684,-45.469494,-22.370022,-5.254298,84.45971,-19.641111,-4.682196,-8.680191,-7.427235,6.320329
HG00177,EUR,-106.92064,-118.93073,-34.683655,-40.422077,-27.516548,-5.3564053,91.83459,-20.336922,-2.79363,-12.164235,-17.162954,8.478704
HG00178,EUR,-106.373184,-127.8949,-36.21982,-48.75559,-22.281956,-5.1307473,78.533844,-15.6693535,-7.9521794,-3.5644236,-10.109677,5.252946
HG00179,EUR,-105.77067,-123.953995,-35.528786,-44.359573,-21.547472,-6.5571265,79.40446,-17.630915,-3.6071708,-9.6658945,-11.638921,9.891458
HG00180,EUR,-107.12663,-123.310265,-35.17337,-43.776775,-20.687746,-5.2540913,79.13084,-15.985604,-5.6373596,-7.007694,-8.069819,4.960246
HG00181,EUR,-98.46823,-128.22064,-29.170935,-46.150555,-16.662237,-4.838052,53.000053,-14.495131,0.51686424,-11.254063,-17.240713,14.3019285
HG00182,EUR,-103.22218,-123.30281,-35.88322,-39.649914,-23.139952,-8.305562,85.74306,-17.106585,-8.190536,-9.035985,-12.072722,9.228638
HG00183,EUR,-105.8735,-125.57612,-32.52841,-44.20221,-24.929499,-4.5943623,89.930084,-16.846432,-3.9858038,-2.206256,-21.779316,6.7421174
HG00185,EUR,-107.2791,-123.92576,-33.193214,-43.672516,-22.440744,-6.1800103,92.49639,-19.6772,-5.179693,-11.427728,-11.106894,10.877006
HG00186,EUR,-106.8253,-127.360985,-36.58785,-43.92925,-24.165962,-6.50028,93.00103,-17.520796,-5.869995,-5.767946,-19.87616,13.743092
HG00187,EUR,-103.55222,-123.2232,-39.710648,-44.16186,-28.01152,-6.5173583,93.582405,-21.635323,-9.515861,-12.822701,-17.231346,14.029371
HG00188,EUR,-105.83102,-130.30795,-33.19505,-44.388996,-23.273914,-6.0464063,83.242424,-15.896503,-3.8160288,-6.254058,-12.52002,7.992928
